formation_start,formation_end,holding_start,holding_end,L_days,VaR_GMV,VaR_MV,VaR_EW,VaR_Active,Real_GMV,Real_MV,Real_EW,Real_Active
2009-01-02,2009-06-30,2009-07-01,2009-09-30,64,0.0,0.02130806971107898,0.0,0.0,0.049517744881999004,0.010194667773789634,0.23863901103069152,0.18476614387919343
2009-04-01,2009-09-30,2009-10-01,2009-12-31,60,0.0,0.02750160652019968,0.0,0.00972509655224146,0.1495014895494342,0.08421229442402622,0.11484820382482974,0.02303327137363631
2009-07-01,2009-12-31,2010-01-01,2010-03-31,59,0.0012895676775553865,0.09100815406959148,0.0,0.017471793273623047,0.06343459952699271,0.051791274664529485,0.04304683921348906,0.009238519145172264
2009-10-01,2010-03-31,2010-04-01,2010-06-30,63,0.0,0.02249332410053826,0.0,0.04506294856931421,0.16461447157808728,0.18118121519857766,0.06379364669214005,0.012078261035225024
2010-01-04,2010-06-30,2010-07-01,2010-09-30,65,0.0,0.0,0.0,0.019836276375287544,0.10955831254740112,0.10919766840921397,0.174455270393852,0.13504941176470675
2010-04-01,2010-09-30,2010-10-01,2010-12-31,64,0.0,0.0,0.0,0.024741467049455776,-0.022100300153442665,-0.01971293648697381,0.015969937386071553,0.017338452225971857
2010-07-01,2010-12-31,2011-01-01,2011-03-31,62,0.03472403893815126,0.05675651243065506,0.007271845259122044,0.007936312713267245,-0.0018327046384088996,-0.004268321257440921,-0.031072978713333588,-0.04902600048903738
2010-10-01,2011-03-31,2011-04-01,2011-06-30,62,0.05602753282869395,0.06975125112445396,0.15913241680067194,0.15907986255337592,0.09017241523633346,0.09849133837947677,0.01366469253578284,-0.03194343261195598
2011-01-03,2011-06-30,2011-07-01,2011-09-30,63,0.0,0.0,0.023528875785723134,0.044291604407459266,0.08075869569277194,0.07478376904532613,-0.07316806901779949,-0.12468569607252933
2011-04-01,2011-09-30,2011-10-01,2011-12-30,60,0.0,0.0,0.0893848219327083,0.13940138101314162,-0.039626257350300675,-0.03646403633173578,-0.0601841105713683,-0.06452232842765449
2011-07-01,2011-12-30,2011-12-31,2012-02-29,41,0.0,0.0,0.11543368864907964,0.13503437814258046,0.052900948736673614,0.061187608449642106,0.20791831408195138,0.16454382284886382
